INSTNM,INEXPFTE,ADM_RATE_ALL,MD_EARN_WNE_4YR,MEDIAN_HH_INC,FAMINC,MD_FAMINC,STUFACR,UGDS_MEN,UGDS_WOMEN
Alabama A & M University,7699.0,0.71600609756097,46562.0,49720.22,32362.826114,23553,18.0,0.406,0.594
University of Alabama at Birmingham,14264.0,0.88535192339996,52404.0,55735.22,51306.674306,34489,19.0,0.379,0.621
Amridge University,4381.0,,45765.0,53683.7,21079.472973,15033.5,13.0,0.3147,0.6853
University of Alabama in Huntsville,8156.0,0.73672375021622,67695.0,58688.62,61096.588949,44787,19.0,0.5953,0.4047
Alabama State University,9459.0,0.97991295614328,37551.0,46065.2,31684.382188,22080.5,13.0,0.3505,0.6495
The University of Alabama,8912.0,0.78904316258456,54773.0,57928.41,91846.749624,66733.5,19.0,0.4385,0.5615
Central Alabama Community College,8098.0,,41948.0,43985.14,30767.764486,22217,15.0,0.3915,0.6085
Athens State University,7908.0,,44847.0,50752.1,38479.38737,29645.5,14.0,0.2951,0.7049
Auburn University at Montgomery,7040.0,0.96798825256975,47635.0,50723.81,41987.986288,29671.5,15.0,0.3314,0.6686
Auburn University,8180.0,0.71182881349795,58894.0,59005.4,92148.626516,72031,20.0,0.5047,0.4953
Birmingham-Southern College,11867.0,0.65908167411621,47147.0,64789.39,86672.871041,68094.5,10.0,0.4895,0.5105
Chattahoochee Valley Community College,6304.0,,37615.0,46908.55,26584.324786,20813,12.0,0.3406,0.6594
South University-Montgomery,7130.0,,53555.0,55764.27,29130.921239,20000,15.0,0.1543,0.8457
Enterprise State Community College,6070.0,,34900.0,44274,30336.675829,20456,16.0,0.5277,0.4723
Coastal Alabama Community College,5588.0,,37125.0,52162.04,36117.937329,24150,16.0,0.3592,0.6408
Faulkner University,7932.0,0.64600781686208,43620.0,52330.99,36952.206116,24037.5,13.0,0.4287,0.5713
Gadsden State Community College,5611.0,,39544.0,43919.51,19449.725019,16623,15.0,0.3746,0.6254
New Beginning College of Cosmetology,2573.0,,18877.0,,22762.19469,17173,14.0,0.0351,0.9649
George C Wallace Community College-Dothan,7019.0,,37648.0,43000.16,19125.651634,15816,14.0,0.2977,0.7023
George C Wallace State Community College-Hanceville,6618.0,,41262.0,47769.34,36705.769088,27572,18.0,0.3233,0.6767
George C Wallace State Community College-Selma,4735.0,,34262.0,35579.05,15431.714286,14330,14.0,0.3323,0.6677
Herzing University-Birmingham,3760.0,0.94095092024539,43052.0,60281.46,26184.228503,18321,14.0,0.2336,0.7664
Huntingdon College,7326.0,0.69301164725457,46832.0,54037.99,53792.633136,37577,15.0,0.5513,0.4487
Heritage Christian University,9032.0,,,51048.04,33173.64,36524,6.0,0.8873,0.1127
J. F. Drake State Community and Technical College,6551.0,,30979.0,52646.49,16557.179487,13959,12.0,0.4186,0.5814
J F Ingram State Technical College,12748.0,,,,321.3853211,0,9.0,0.7575,0.2425
Jacksonville State University,7545.0,0.76342650004769,45062.0,48389.27,48404.346827,35734,19.0,0.3923,0.6077
Jefferson State Community College,5217.0,,45722.0,57833.36,36652.478692,25922,19.0,0.356,0.644
John C Calhoun State Community College,4839.0,,41962.0,56005.43,37220.18136,25186,20.0,0.4321,0.5679
Lawson State Community College,6514.0,,34488.0,40437.86,18229.648074,16187.5,17.0,0.3383,0.6617
University of West Alabama,7462.0,0.74333983105912,47828.0,40238.44,39866.202586,25552.5,14.0,0.3043,0.6957
Lurleen B Wallace Community College,5759.0,,36851.0,37073.95,20928.068966,18213,16.0,0.349,0.651
Marion Military Institute,4202.0,0.45353982300884,43510.0,56305.23,59761.888298,38434,11.0,0.7389,0.2611
Miles College,4111.0,,35297.0,43157.79,23637.283898,17702.5,16.0,0.4661,0.5339
University of Mobile,6500.0,0.64092446448703,39684.0,51833.34,53850.791005,39700,14.0,0.3435,0.6565
University of Montevallo,12702.0,0.90086526576019,39049.0,59047.15,57173.946798,43813,12.0,0.3608,0.6392
Northwest-Shoals Community College,5764.0,,45800.0,43283.31,29918.968492,21195,17.0,0.3709,0.6291
University of North Alabama,8346.0,0.89970674486803,44276.0,48189.09,52721.785217,39436,17.0,0.3636,0.6364
Northeast Alabama Community College,5680.0,,34676.0,43126.73,29204.85756,22763,16.0,0.3272,0.6728
Oakwood University,8317.0,0.71850170261066,49855.0,60906.45,50868.943834,36829,10.0,0.4339,0.5661
Reid State Technical College,10843.0,,29757.0,36356.31,16019.3297,14034,12.0,0.3504,0.6496
Bishop State Community College,6114.0,,33751.0,41748.26,16541.26577,14536.5,15.0,0.3252,0.6748
Samford University,14292.0,0.83874792506521,50526.0,69602.13,108313.94042,87745,12.0,0.333,0.667
Shelton State Community College,5849.0,,41743.0,43868.43,19222.902755,15976.5,19.0,0.3868,0.6132
Snead State Community College,3443.0,,35996.0,42881.33,31610.012362,23735,19.0,0.3722,0.6278
University of South Alabama,10104.0,0.7077938563087,47998.0,51919.71,52728.845016,36199,17.0,0.3871,0.6129
Spring Hill College,7490.0,0.71523178807947,,59048.32,79894.033639,61189,11.0,0.4146,0.5854
Stillman College,3605.0,0.75798319327731,33770.0,46186.31,27754.87695,19890,14.0,0.4341,0.5659
Talladega College,4273.0,,29423.0,44867.28,27002.32377,18810,22.0,0.493,0.507
H Councill Trenholm State Community College,6302.0,,31321.0,44608.65,18126.977755,15992,15.0,0.3955,0.6045
Troy University,6742.0,0.95270469997044,44329.0,49132.68,42757.394639,29641,16.0,0.3499,0.6501
Tuskegee University,14340.0,0.34197976038152,51778.0,54155.29,50928.444106,35336,9.0,0.3736,0.6264
United States Sports Academy,8365.0,1.0,52756.0,59896.36,36311.690141,29000,9.0,0.7353,0.2647
Bevill State Community College,7659.0,,43329.0,41185.71,19747.081764,16911,12.0,0.3684,0.6316
University of Alaska Anchorage,13122.0,0.69046925094724,56670.0,72116.59,46723.651169,33525,12.0,0.3937,0.6063
Alaska Bible College,5290.0,,,,52437.533333,42490,5.0,0.6757,0.3243
University of Alaska Fairbanks,19104.0,0.64693295292439,50963.0,65084.81,48958.06457,35967,12.0,0.4092,0.5908
University of Alaska Southeast,15362.0,0.5625,50288.0,73622.06,46682.37037,34718,9.0,0.3183,0.6817
Alaska Pacific University,13548.0,0.96031746031746,53375.0,70542.98,59045.794521,38810,8.0,0.2219,0.7781
Alaska Vocational Technical Center,32724.0,,34883.0,62883.46,36850.449438,22043,12.0,0.7452,0.2548
